Sp,Diada,Media,Varianza
A. geoffroyi,f-f,0.26666667334,0.3651483808079489
A. geoffroyi,f-j,0.11713286713076923,0.28262442008857097
A. geoffroyi,j-j,0,0
A. geoffroyi,m-f,0.19642857142857142,0.3669776819475798
A. geoffroyi,m-j,0.347222222225,0.4843945160062744
A. geoffroyi,m-m,0.4,0.4183300132670378
Macaca arctoides,f-f,0.22516756364948454,0.3412395229879329
Macaca arctoides,m-f,0.30730519480714286,0.32587107135229154
Macaca arctoides,m-m,0.9545454545,NA
Mandrillus sphinx,f-f,0.31310658185,0.3048811721049292
Sapajus apella,f-f,0.25,0.3621779114035559
Sapajus apella,f-j,0.15952380952857143,0.2479279209243866
Sapajus apella,j-j,0,NA
Sapajus apella,m-f,0.3958333333375,0.36663960939481505
Sapajus apella,m-j,0.12269585253333333,0.19380571822557102
Sapajus apella,m-m,0,NA
Alouatta guariba,f-f,0.35582010583333334,0.18949538043633793
Alouatta guariba,m-f,0.064327485375,0.133456391337121
Alouatta guariba,m-m,0,NA
Pan paniscus,f-f,0.4502613629333333,0.41266876930127266
Pan paniscus,m-f,0.19971026691888888,0.2909641034037644
Pan paniscus,m-m,0.37777777776666666,0.5429685210239752
